Step	DeathCause	Age	Speed	Sight	ReproductiveUrge	LifeSpan	Charm	PregnancyDuration	Status	Starving	Drying
20	HUNGER	2,004999	9,811687	31	36	5,188557	30	40	SEARCHINGFOOD	21	34
20	HUNGER	2,004999	6,376391	44	37	4,913643	51	51	SEARCHINGFOOD	19	29
20	HUNGER	4,004999	5,604715	40	46	4,716907	48	47	SEARCHINGFOOD	18	32
20	HUNGER	2,504999	8,967491	49	31	5,399259	49	43	SEARCHINGFOOD	17	30
21	HUNGER	4,004999	6,704163	49	35	5,57872	52	46	SEARCHINGFOOD	17	35
21	HUNGER	4,004999	6,52913	43	30	4,454356	53	56	SEARCHINGFOOD	20	27
21	HUNGER	2,004999	9,017423	59	43	4,459781	46	32	SEARCHINGFOOD	16	29
21	HUNGER	2,004999	8,747926	60	36	4,836729	40	35	WAITING	18	32
21	HUNGER	4,504999	3,311486	45	44	5,656651	53	40	SEARCHINGFOOD	20	31
21	HUNGER	4,004999	6,273078	44	34	5,496258	58	51	RESTING	18	35
21	HUNGER	4,004999	7,371565	47	32	4,761037	56	52	SEARCHINGFOOD	20	26
21	HUNGER	3,504999	4,098614	43	42	4,905306	45	49	SEARCHINGFOOD	17	33
21	DROWN	4,004999	7,322905	44	33	4,871376	78	52	SEARCHINGFOOD	25	30
21	HUNGER	3,004999	7,705917	59	42	4,949037	45	36	SEARCHINGFOOD	16	34
21	HUNGER	4,004999	9,467667	53	47	5,86671	70	43	SEARCHINGFOOD	18	29
21	AGE	4,004999	5,997921	51	33	3,991681	79	48	SEARCHINGFOOD	17	28
22	HUNGER	3,504999	3,501945	41	36	5,628632	49	43	SEARCHINGFOOD	16	35
22	HUNGER	4,504999	3,405907	50	39	5,489198	57	37	SEARCHINGFOOD	20	32
22	HUNGER	4,004999	8,457206	54	35	5,603889	66	44	SEARCHINGFOOD	18	35
22	HUNGER	2,504999	5,455821	38	36	4,857801	77	48	SEARCHINGFOOD	15	26
22	HUNGER	2,504999	5,825041	37	32	4,980944	75	44	SEARCHINGFOOD	16	26
22	AGE	5,004999	6,610536	67	50	4,641642	54	39	SEARCHINGMATE	16	31
22	HUNGER	4,004999	9,268929	47	42	5,197198	43	48	SEARCHINGFOOD	19	30
22	HUNGER	2,504999	5,54114	45	31	4,704132	70	51	SEARCHINGFOOD	16	26
22	HUNGER	2,004999	7,520328	51	37	5,01846	66	44	SEARCHINGFOOD	21	30
22	HUNGER	2,004999	7,417226	58	34	4,834326	60	40	SEARCHINGFOOD	22	28
22	HUNGER	2,004999	6,659165	59	34	5,144557	65	44	MOVING	21	29
22	HUNGER	2,004999	6,801107	49	36	5,119314	74	44	SEARCHINGFOOD	20	33
22	HUNGER	2,004999	7,644952	52	34	5,145834	63	44	SEARCHINGFOOD	22	29
22	HUNGER	2,004999	5,955672	50	35	3,894982	81	50	SEARCHINGFOOD	15	26
22	HUNGER	2,004999	5,794404	48	39	3,7859	77	43	SEARCHINGFOOD	16	24
22	DROWN	0,9949992	5,096813	37	33	4,431161	70	50	SEARCHINGFOOD	16	24
22	HUNGER	3,004999	9,368807	44	30	5,860892	44	46	SEARCHINGFOOD	15	34
23	HUNGER	4,504999	4,981535	37	42	5,222197	45	44	SEARCHINGFOOD	18	35
23	HUNGER	4,004999	8,569131	50	41	6,092036	65	50	SEARCHINGFOOD	19	30
23	AGE	4,504999	6,59446	47	36	4,365296	43	41	SEARCHINGDRINK	17	29
23	AGE	4,504999	7,027573	49	35	4,423572	41	45	SEARCHINGDRINK	16	31
